Names,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Gold Mario,10,1,8,1,1,8,8,8,8,3,3,3,3
Dry Bones,1,5,2,4,5,2,2,2,2,8,8,8,8
Bowser Jr,2,4,1,5,4,3,3,3,3,8,8,8,8
King Boo,7,1,9,3,2,8,8,8,8,3,3,3,3
Inkling Girl,3,4,2,3,3,5,5,5,5,6,6,6,6
Inkling Boy,5,3,7,1,3,6,6,6,6,5,5,5,5
Link (Breath of the Wild),7,1,9,3,2,8,8,8,8,3,3,3,3
Birdo,4,3,3,3,4,6,6,6,6,5,5,5,5
,,,,,,,,,,,,,
Standard,2,4,2,5,4,2,3,2,3,3,3,3,3
Monster,4,2,3,7,3,2,2,2,1,0,1,0,1
Roller,0,6,0,4,6,0,3,0,3,4,4,4,4
Slim,2,2,4,1,3,3,2,4,2,4,4,3,4
Slick,3,1,4,0,1,4,0,4,0,2,0,2,1
Metal,4,0,1,2,1,4,3,1,2,2,2,1,0
Button,0,5,1,3,5,1,2,2,2,3,3,4,2
Off-Road,3,3,3,6,2,3,4,2,1,1,1,2,2
Sponge,1,4,2,6,5,1,1,1,4,2,1,2,3
Wood,2,2,4,1,3,3,2,4,2,4,4,3,4
Cushion,1,4,2,6,5,1,1,1,4,2,1,2,3
Blue Standard,2,4,2,5,4,2,3,2,3,3,3,3,3
Hot Monster,4,2,3,7,3,2,2,2,1,0,1,0,1
Azure Roller,0,6,0,4,6,0,3,0,3,4,4,4,4
Crimson Slim,2,2,4,1,3,3,2,4,2,4,4,3,4
Cyber Slick,3,1,4,0,1,4,0,4,0,2,0,2,1
Retro Off-Road,3,3,3,6,2,3,4,2,1,1,1,2,2
Gold Tires,4,0,1,2,1,4,3,1,2,2,2,1,0
GLA Tires,2,4,2,5,4,2,3,2,3,3,3,3,3
Triforce Tires,3,3,3,6,2,3,4,2,1,1,1,2,2
Leaf Tires,0,5,1,3,5,1,2,2,2,3,3,4,2
Ancient Tires,4,2,3,7,3,2,2,2,1,0,1,0,1
,,,,,,,,,,,,,
Super Glider,1,1,1,1,1,1,1,0,2,1,0,1,1
Cloud Glider,0,2,1,1,2,0,1,1,1,1,0,1,2
Wario Wing,2,1,2,0,1,1,0,1,2,1,1,0,1
Waddle Wing,1,1,1,1,1,1,1,0,2,1,0,1,1
Peach Parasol,1,2,2,0,2,0,0,1,1,1,1,0,2
Parachute,0,2,1,1,2,0,1,1,1,1,0,1,2
Parafoil,1,2,2,0,2,0,0,1,1,1,1,0,2
Flower Glider,0,2,1,1,2,0,1,1,1,1,0,1,2
Bowser Kite,1,2,2,0,2,0,0,1,1,1,1,0,2
Plane Glider,2,1,2,0,1,1,0,1,2,1,1,0,1
MKTV Parafoil,1,2,2,0,2,0,0,1,1,1,1,0,2
Gold Glider,2,1,2,0,1,1,0,1,2,1,1,0,1
Hylian Kite,1,1,1,1,1,1,1,0,2,1,0,1,1
Paper Glider,0,2,1,1,2,0,1,1,1,1,0,1,2
Paraglider,2,1,2,0,1,1,0,1,2,1,1,0,1
