Coord1,Coord2,Coord3,Ind,Character,Kart,Wheel,Glider,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Acceleration,On-road Traction,308,Donkey Kong,Cat Cruiser,Monster,Peach Parasol,15.0,10.0,19.0,10.0,10.0,13.0,13.0,15.0,15.0,7.0,6.0,5.0,9.0
Weight,Acceleration,On-road Traction,533,Metal Mario,Pipe Frame,Off-Road,Peach Parasol,15.0,12.0,16.0,11.0,10.0,12.0,15.0,12.0,11.0,10.0,9.0,9.0,9.0
Weight,Acceleration,On-road Traction,547,Metal Mario,Cat Cruiser,Off-Road,Peach Parasol,16.0,11.0,17.0,10.0,9.0,13.0,14.0,14.0,14.0,9.0,7.0,8.0,11.0
Weight,Acceleration,On-road Traction,278,Donkey Kong,Cat Cruiser,Monster,Wario Wing,16.0,9.0,19.0,10.0,9.0,14.0,13.0,15.0,16.0,7.0,6.0,5.0,8.0
Weight,Acceleration,On-road Traction,232,Donkey Kong,Tanooki Kart,Slick,Wario Wing,16.0,5.0,20.0,7.0,5.0,16.0,13.0,17.0,14.0,9.0,7.0,7.0,7.0
Weight,Acceleration,On-road Traction,436,Donkey Kong,Tanooki Kart,Monster,Wario Wing,17.0,6.0,19.0,14.0,7.0,14.0,15.0,15.0,15.0,7.0,8.0,5.0,7.0
Weight,Acceleration,On-road Traction,543,Metal Mario,Cat Cruiser,Off-Road,Wario Wing,17.0,10.0,17.0,10.0,8.0,14.0,14.0,14.0,15.0,9.0,7.0,8.0,10.0
Weight,Acceleration,On-road Traction,343,Metal Mario,Cat Cruiser,Slick,Wario Wing,17.0,8.0,18.0,4.0,7.0,15.0,10.0,16.0,14.0,10.0,6.0,8.0,9.0
Weight,Acceleration,On-road Traction,542,Metal Mario,Cat Cruiser,Monster,Peach Parasol,17.0,10.0,17.0,11.0,10.0,12.0,12.0,14.0,14.0,8.0,7.0,6.0,10.0
Weight,Acceleration,On-road Traction,477,Metal Mario,Tanooki Kart,Slick,Wario Wing,18.0,5.0,18.0,8.0,5.0,15.0,12.0,16.0,13.0,10.0,8.0,8.0,8.0
Weight,Acceleration,On-road Traction,556,Metal Mario,Cat Cruiser,Monster,Wario Wing,18.0,9.0,17.0,11.0,9.0,13.0,12.0,14.0,15.0,8.0,7.0,6.0,9.0
Weight,Acceleration,On-road Traction,522,Metal Mario,Tanooki Kart,Monster,Wario Wing,19.0,6.0,17.0,15.0,7.0,13.0,14.0,14.0,14.0,8.0,9.0,6.0,8.0
Weight,Acceleration,On-road Traction,554,Metal Mario,Mach 8,Monster,Wario Wing,19.0,7.0,15.0,12.0,8.0,14.0,13.0,16.0,15.0,6.0,7.0,7.0,7.0
Weight,Acceleration,On-road Traction,555,Metal Mario,Steel Driver,Monster,Wario Wing,20.0,5.0,14.0,11.0,6.0,15.0,15.0,13.0,11.0,5.0,10.0,4.0,6.0
Weight,Acceleration,On-road Traction,524,Metal Mario,Badwagon,Monster,Wario Wing,20.0,4.0,15.0,13.0,4.0,16.0,12.0,14.0,12.0,4.0,6.0,4.0,5.0
Weight,Acceleration,Off-road Traction,4031,Baby Mario,Landship,Roller,Cloud Glider,1.0,19.0,3.0,15.0,18.0,2.0,10.0,2.0,7.0,17.0,17.0,15.0,17.0
Weight,Acceleration,Off-road Traction,4028,Baby Mario,Biddybuggy,Roller,Cloud Glider,1.0,20.0,4.0,13.0,19.0,1.0,6.0,4.0,6.0,18.0,16.0,18.0,18.0
Weight,Acceleration,Off-road Traction,3619,Baby Mario,Landship,Sponge,Cloud Glider,2.0,17.0,5.0,17.0,16.0,3.0,8.0,3.0,8.0,15.0,14.0,13.0,16.0
Weight,Acceleration,Off-road Traction,3567,Koopa Troopa,Landship,Roller,Cloud Glider,2.0,18.0,2.0,16.0,18.0,3.0,11.0,3.0,8.0,17.0,17.0,15.0,17.0
Weight,Acceleration,Off-road Traction,3562,Baby Mario,Landship,Roller,Peach Parasol,2.0,19.0,4.0,14.0,18.0,2.0,9.0,2.0,7.0,17.0,18.0,14.0,17.0
Weight,Acceleration,Off-road Traction,3558,Koopa Troopa,Biddybuggy,Roller,Cloud Glider,2.0,19.0,3.0,14.0,19.0,2.0,7.0,5.0,7.0,18.0,16.0,18.0,18.0
Weight,Acceleration,Off-road Traction,3554,Baby Mario,Biddybuggy,Roller,Peach Parasol,2.0,20.0,5.0,12.0,19.0,1.0,5.0,4.0,6.0,18.0,17.0,17.0,18.0
Weight,Acceleration,Off-road Traction,3485,Koopa Troopa,Biddybuggy,Roller,Peach Parasol,3.0,19.0,4.0,13.0,19.0,2.0,6.0,5.0,7.0,18.0,17.0,17.0,18.0
Weight,Acceleration,Off-road Traction,3494,Toad,Landship,Roller,Cloud Glider,3.0,18.0,4.0,15.0,17.0,4.0,12.0,4.0,9.0,16.0,16.0,14.0,16.0
Weight,Acceleration,Off-road Traction,3504,Koopa Troopa,Landship,Roller,Peach Parasol,3.0,18.0,3.0,15.0,18.0,3.0,10.0,3.0,8.0,17.0,18.0,14.0,17.0
Weight,Acceleration,Off-road Traction,3524,Koopa Troopa,Biddybuggy,Sponge,Cloud Glider,3.0,17.0,5.0,16.0,17.0,3.0,5.0,6.0,8.0,16.0,13.0,16.0,17.0
Weight,Acceleration,Off-road Traction,3525,Koopa Troopa,Landship,Roller,Super Glider,3.0,17.0,2.0,16.0,17.0,4.0,11.0,2.0,9.0,17.0,17.0,15.0,16.0
Weight,Acceleration,Off-road Traction,3533,Baby Mario,Landship,Standard,Cloud Glider,3.0,17.0,5.0,16.0,15.0,4.0,10.0,4.0,7.0,16.0,16.0,14.0,16.0
Weight,Acceleration,Off-road Traction,3480,Toad,Biddybuggy,Roller,Cloud Glider,3.0,19.0,5.0,13.0,18.0,3.0,8.0,6.0,8.0,17.0,15.0,17.0,17.0
Weight,Acceleration,Off-road Traction,3555,Toadette,Biddybuggy,Roller,Peach Parasol,3.0,20.0,7.0,10.0,19.0,2.0,6.0,5.0,7.0,17.0,16.0,16.0,17.0
Weight,Acceleration,Off-road Traction,3586,Koopa Troopa,Landship,Sponge,Cloud Glider,3.0,16.0,4.0,18.0,16.0,4.0,9.0,4.0,9.0,15.0,14.0,13.0,16.0
Weight,Acceleration,Off-road Traction,3535,Baby Mario,Landship,Sponge,Peach Parasol,3.0,17.0,6.0,16.0,16.0,3.0,7.0,3.0,8.0,15.0,15.0,12.0,16.0
Weight,Acceleration,Off-road Traction,3318,Toad,Landship,Roller,Super Glider,4.0,17.0,4.0,15.0,16.0,5.0,12.0,3.0,10.0,16.0,16.0,14.0,15.0
Weight,Acceleration,Off-road Traction,3334,Koopa Troopa,Biddybuggy,Standard,Cloud Glider,4.0,17.0,5.0,15.0,16.0,4.0,7.0,7.0,7.0,17.0,15.0,17.0,17.0
Weight,Acceleration,Off-road Traction,3346,Baby Mario,Biddybuggy,Off-Road,Cloud Glider,4.0,17.0,7.0,15.0,14.0,4.0,7.0,6.0,4.0,15.0,13.0,16.0,16.0
Weight,Acceleration,Off-road Traction,3286,Toad,Landship,Roller,Peach Parasol,4.0,18.0,5.0,14.0,17.0,4.0,11.0,4.0,9.0,16.0,17.0,13.0,16.0
Weight,Acceleration,Off-road Traction,3336,Koopa Troopa,Biddybuggy,Sponge,Peach Parasol,4.0,17.0,6.0,15.0,17.0,3.0,4.0,6.0,8.0,16.0,14.0,15.0,17.0
Weight,Acceleration,Off-road Traction,3317,Toad,Biddybuggy,Sponge,Cloud Glider,4.0,17.0,7.0,15.0,16.0,4.0,6.0,7.0,9.0,15.0,12.0,15.0,16.0
Weight,Acceleration,Off-road Traction,3337,Koopa Troopa,Landship,Roller,Wario Wing,4.0,17.0,3.0,15.0,17.0,4.0,10.0,3.0,9.0,17.0,18.0,14.0,16.0
Weight,Acceleration,Off-road Traction,3455,Baby Mario,Landship,Off-Road,Cloud Glider,4.0,16.0,6.0,17.0,13.0,5.0,11.0,4.0,5.0,14.0,14.0,13.0,15.0
Weight,Acceleration,Off-road Traction,3430,Toad,Landship,Sponge,Cloud Glider,4.0,16.0,6.0,17.0,15.0,5.0,10.0,5.0,10.0,14.0,13.0,12.0,15.0
Weight,Acceleration,Off-road Traction,3442,Koopa Troopa,Landship,Standard,Cloud Glider,4.0,16.0,4.0,17.0,15.0,5.0,11.0,5.0,8.0,16.0,16.0,14.0,16.0
Weight,Acceleration,Off-road Traction,3444,Koopa Troopa,Landship,Sponge,Peach Parasol,4.0,16.0,5.0,17.0,16.0,4.0,8.0,4.0,9.0,15.0,15.0,12.0,16.0
Weight,Acceleration,Off-road Traction,3489,Toad,Biddybuggy,Roller,Peach Parasol,4.0,19.0,6.0,12.0,18.0,3.0,7.0,6.0,8.0,17.0,16.0,16.0,17.0
Weight,Acceleration,Off-road Traction,3348,Baby Mario,Landship,Standard,Peach Parasol,4.0,17.0,6.0,15.0,15.0,4.0,9.0,4.0,7.0,16.0,17.0,13.0,16.0
Weight,Acceleration,Off-road Traction,3183,Toad,Landship,Roller,Wario Wing,5.0,17.0,5.0,14.0,16.0,5.0,11.0,4.0,10.0,16.0,17.0,13.0,15.0
Weight,Acceleration,Off-road Traction,3182,Toad,Biddybuggy,Sponge,Peach Parasol,5.0,17.0,8.0,14.0,16.0,4.0,5.0,7.0,9.0,15.0,13.0,14.0,16.0
Weight,Acceleration,Off-road Traction,3180,Toad,Biddybuggy,Standard,Cloud Glider,5.0,17.0,7.0,14.0,15.0,5.0,8.0,8.0,8.0,16.0,14.0,16.0,16.0
Weight,Acceleration,Off-road Traction,3198,Koopa Troopa,Biddybuggy,Standard,Peach Parasol,5.0,17.0,6.0,14.0,16.0,4.0,6.0,7.0,7.0,17.0,16.0,16.0,17.0
Weight,Acceleration,Off-road Traction,3224,Toad,Landship,Standard,Cloud Glider,5.0,16.0,6.0,16.0,14.0,6.0,12.0,6.0,9.0,15.0,15.0,13.0,15.0
Weight,Acceleration,Off-road Traction,3202,Baby Mario,Biddybuggy,Off-Road,Peach Parasol,5.0,17.0,8.0,14.0,14.0,4.0,6.0,6.0,4.0,15.0,14.0,15.0,16.0
Weight,Acceleration,Off-road Traction,3226,Toad,Landship,Sponge,Peach Parasol,5.0,16.0,7.0,16.0,15.0,5.0,9.0,5.0,10.0,14.0,14.0,11.0,15.0
Weight,Acceleration,Off-road Traction,3305,Toad,Pipe Frame,Roller,Peach Parasol,5.0,18.0,8.0,12.0,17.0,4.0,9.0,5.0,8.0,17.0,16.0,15.0,15.0
Weight,Acceleration,Off-road Traction,3251,Koopa Troopa,Landship,Standard,Peach Parasol,5.0,16.0,5.0,16.0,15.0,5.0,10.0,5.0,8.0,16.0,17.0,13.0,16.0
Weight,Acceleration,Off-road Traction,3261,Baby Mario,Biddybuggy,Monster,Cloud Glider,5.0,16.0,7.0,16.0,15.0,3.0,5.0,6.0,4.0,14.0,13.0,14.0,15.0
Weight,Acceleration,Off-road Traction,3264,Baby Mario,Landship,Off-Road,Peach Parasol,5.0,16.0,7.0,16.0,13.0,5.0,10.0,4.0,5.0,14.0,15.0,12.0,15.0
Weight,Acceleration,Off-road Traction,3306,Toad,Biddybuggy,Roller,Wario Wing,5.0,18.0,6.0,12.0,17.0,4.0,7.0,6.0,9.0,17.0,16.0,16.0,16.0
Weight,Acceleration,Off-road Traction,3386,Koopa Troopa,Landship,Off-Road,Cloud Glider,5.0,15.0,5.0,18.0,13.0,6.0,12.0,5.0,6.0,14.0,14.0,13.0,15.0
Weight,Acceleration,Off-road Traction,3400,Baby Mario,Landship,Monster,Cloud Glider,5.0,15.0,6.0,18.0,14.0,4.0,9.0,4.0,5.0,13.0,14.0,11.0,14.0
Weight,Acceleration,Off-road Traction,3249,Koopa Troopa,Biddybuggy,Off-Road,Cloud Glider,5.0,16.0,6.0,16.0,14.0,5.0,8.0,7.0,5.0,15.0,13.0,16.0,16.0
Weight,Acceleration,Off-road Traction,2915,Toad,Landship,Off-Road,Cloud Glider,6.0,15.0,7.0,17.0,12.0,7.0,13.0,6.0,7.0,13.0,13.0,12.0,14.0
Weight,Acceleration,Off-road Traction,3126,Koopa Troopa,Landship,Monster,Cloud Glider,6.0,14.0,5.0,19.0,14.0,5.0,10.0,5.0,6.0,13.0,14.0,11.0,14.0
Weight,Acceleration,Off-road Traction,2956,Baby Mario,Landship,Monster,Peach Parasol,6.0,15.0,7.0,17.0,14.0,4.0,8.0,4.0,5.0,13.0,15.0,10.0,14.0
Weight,Acceleration,Off-road Traction,2946,Koopa Troopa,Landship,Off-Road,Peach Parasol,6.0,15.0,6.0,17.0,13.0,6.0,11.0,5.0,6.0,14.0,15.0,12.0,15.0
Weight,Acceleration,Off-road Traction,2943,Koopa Troopa,Biddybuggy,Monster,Cloud Glider,6.0,15.0,6.0,17.0,15.0,4.0,6.0,7.0,5.0,14.0,13.0,14.0,15.0
Weight,Acceleration,Off-road Traction,2781,Baby Mario,Biddybuggy,Monster,Peach Parasol,6.0,16.0,8.0,15.0,15.0,3.0,4.0,6.0,4.0,14.0,14.0,13.0,15.0
Weight,Acceleration,Off-road Traction,4037,Tanooki Mario,Biddybuggy,Roller,Peach Parasol,6.0,18.0,10.0,9.0,18.0,5.0,9.0,8.0,10.0,15.0,14.0,14.0,15.0
Weight,Acceleration,Off-road Traction,2759,Toad,Landship,Standard,Peach Parasol,6.0,16.0,7.0,15.0,14.0,6.0,11.0,6.0,9.0,15.0,16.0,12.0,15.0
Weight,Acceleration,Off-road Traction,2777,Koopa Troopa,Biddybuggy,Off-Road,Peach Parasol,6.0,16.0,7.0,15.0,14.0,5.0,7.0,7.0,5.0,15.0,14.0,15.0,16.0
Weight,Acceleration,Off-road Traction,2757,Toad,Biddybuggy,Off-Road,Cloud Glider,6.0,16.0,8.0,15.0,13.0,6.0,9.0,8.0,6.0,14.0,12.0,15.0,15.0
Weight,Acceleration,Off-road Traction,2722,Toad,Biddybuggy,Standard,Peach Parasol,6.0,17.0,8.0,13.0,15.0,5.0,7.0,8.0,8.0,16.0,15.0,15.0,16.0
Weight,Acceleration,Off-road Traction,1788,Toad,Biddybuggy,Off-Road,Peach Parasol,7.0,16.0,9.0,14.0,13.0,6.0,8.0,8.0,6.0,14.0,13.0,14.0,15.0
Weight,Acceleration,Off-road Traction,1847,Toad,Biddybuggy,Monster,Cloud Glider,7.0,15.0,8.0,16.0,14.0,5.0,7.0,8.0,6.0,13.0,12.0,13.0,14.0
Weight,Acceleration,Off-road Traction,1867,Koopa Troopa,Biddybuggy,Monster,Peach Parasol,7.0,15.0,7.0,16.0,15.0,4.0,5.0,7.0,5.0,14.0,14.0,13.0,15.0
Weight,Acceleration,Off-road Traction,1850,Toad,Landship,Off-Road,Peach Parasol,7.0,15.0,8.0,16.0,12.0,7.0,12.0,6.0,7.0,13.0,14.0,11.0,14.0
Weight,Acceleration,Off-road Traction,2828,Toad,Landship,Monster,Cloud Glider,7.0,14.0,7.0,18.0,13.0,6.0,11.0,6.0,7.0,12.0,13.0,10.0,13.0
Weight,Acceleration,Off-road Traction,3040,Koopa Troopa,Landship,Monster,Super Glider,7.0,13.0,5.0,19.0,13.0,6.0,10.0,4.0,7.0,13.0,14.0,11.0,13.0
Weight,Acceleration,Off-road Traction,2858,Koopa Troopa,Landship,Monster,Peach Parasol,7.0,14.0,6.0,18.0,14.0,5.0,9.0,5.0,6.0,13.0,15.0,10.0,14.0
Weight,Acceleration,Off-road Traction,2734,Mario,Biddybuggy,Roller,Peach Parasol,7.0,17.0,7.0,10.0,17.0,6.0,10.0,9.0,11.0,14.0,13.0,13.0,14.0
Weight,Acceleration,Off-road Traction,2655,Koopa Troopa,Tanooki Kart,Off-Road,Cloud Glider,8.0,11.0,9.0,19.0,10.0,7.0,11.0,8.0,7.0,14.0,13.0,14.0,15.0
Weight,Acceleration,Off-road Traction,1613,Toad,Landship,Monster,Super Glider,8.0,13.0,7.0,18.0,12.0,7.0,11.0,5.0,8.0,12.0,13.0,10.0,12.0
Weight,Acceleration,Off-road Traction,1636,Koopa Troopa,Landship,Monster,Wario Wing,8.0,13.0,6.0,18.0,13.0,6.0,9.0,5.0,7.0,13.0,15.0,10.0,13.0
Weight,Acceleration,Off-road Traction,1812,Rosalina,Biddybuggy,Roller,Peach Parasol,8.0,16.0,12.0,11.0,17.0,7.0,11.0,10.0,12.0,13.0,12.0,12.0,13.0
Weight,Acceleration,Off-road Traction,2675,Baby Mario,Tanooki Kart,Monster,Cloud Glider,8.0,11.0,10.0,19.0,11.0,5.0,8.0,7.0,6.0,13.0,13.0,12.0,14.0
Weight,Acceleration,Off-road Traction,1745,Toad,Biddybuggy,Monster,Peach Parasol,8.0,15.0,9.0,15.0,14.0,5.0,6.0,8.0,6.0,13.0,13.0,12.0,14.0
Weight,Acceleration,Off-road Traction,639,Toad,Landship,Monster,Peach Parasol,8.0,14.0,8.0,17.0,13.0,6.0,10.0,6.0,7.0,12.0,14.0,9.0,13.0
Weight,Acceleration,Off-road Traction,797,Toad,Pipe Frame,Monster,Peach Parasol,9.0,14.0,11.0,15.0,13.0,6.0,8.0,7.0,6.0,13.0,13.0,11.0,12.0
Weight,Acceleration,Off-road Traction,801,Toad,Biddybuggy,Monster,Wario Wing,9.0,14.0,9.0,15.0,13.0,6.0,6.0,8.0,7.0,13.0,13.0,12.0,13.0
Weight,Acceleration,Off-road Traction,547,Toad,Landship,Monster,Wario Wing,9.0,13.0,8.0,17.0,12.0,7.0,10.0,6.0,8.0,12.0,14.0,9.0,12.0
Weight,Acceleration,Off-road Traction,2244,Toad,Tanooki Kart,Off-Road,Cloud Glider,9.0,11.0,11.0,18.0,9.0,8.0,12.0,9.0,8.0,13.0,12.0,13.0,14.0
Weight,Acceleration,Off-road Traction,2270,Koopa Troopa,Tanooki Kart,Off-Road,Peach Parasol,9.0,11.0,10.0,18.0,10.0,7.0,10.0,8.0,7.0,14.0,14.0,13.0,15.0
Weight,Acceleration,Off-road Traction,2283,Baby Mario,Tanooki Kart,Monster,Peach Parasol,9.0,11.0,11.0,18.0,11.0,5.0,7.0,7.0,6.0,13.0,14.0,11.0,14.0
Weight,Acceleration,Off-road Traction,2516,Koopa Troopa,Tanooki Kart,Monster,Cloud Glider,9.0,10.0,9.0,20.0,11.0,6.0,9.0,8.0,7.0,13.0,13.0,12.0,14.0
Weight,Acceleration,Off-road Traction,1048,Toad,Tanooki Kart,Monster,Cloud Glider,10.0,10.0,11.0,19.0,10.0,7.0,10.0,9.0,8.0,12.0,12.0,11.0,13.0
Weight,Acceleration,Off-road Traction,1065,Koopa Troopa,Tanooki Kart,Monster,Peach Parasol,10.0,10.0,10.0,19.0,11.0,6.0,8.0,8.0,7.0,13.0,14.0,11.0,14.0
Weight,Acceleration,Off-road Traction,157,Rosalina,Landship,Off-Road,Cloud Glider,10.0,12.0,13.0,16.0,11.0,11.0,17.0,10.0,11.0,9.0,9.0,8.0,10.0
Weight,Acceleration,Off-road Traction,136,Toad,Standard Bike,Monster,Wario Wing,10.0,12.0,11.0,16.0,11.0,8.0,7.0,10.0,9.0,12.0,12.0,11.0,12.0
Weight,Acceleration,Off-road Traction,3995,Metal Mario,Landship,Roller,Cloud Glider,10.0,15.0,9.0,12.0,15.0,9.0,17.0,9.0,14.0,12.0,12.0,10.0,12.0
Weight,Acceleration,Off-road Traction,2389,Koopa Troopa,Tanooki Kart,Monster,Super Glider,10.0,9.0,9.0,20.0,10.0,7.0,9.0,7.0,8.0,13.0,13.0,12.0,13.0
Weight,Acceleration,Off-road Traction,101,Mario,Landship,Monster,Cloud Glider,10.0,12.0,8.0,16.0,12.0,9.0,14.0,9.0,10.0,9.0,10.0,7.0,10.0
Weight,Acceleration,Off-road Traction,723,Toad,Pipe Frame,Monster,Wario Wing,10.0,13.0,11.0,15.0,12.0,7.0,8.0,7.0,7.0,13.0,13.0,11.0,11.0
Weight,Acceleration,Off-road Traction,4026,Metal Mario,Biddybuggy,Roller,Cloud Glider,10.0,16.0,10.0,10.0,16.0,8.0,13.0,11.0,13.0,13.0,11.0,13.0,13.0
Weight,Acceleration,Off-road Traction,128,Peach,Landship,Monster,Wario Wing,10.0,12.0,8.0,16.0,12.0,9.0,12.0,8.0,10.0,10.0,12.0,7.0,10.0
Weight,Acceleration,Off-road Traction,3934,Metal Mario,Biddybuggy,Sponge,Cloud Glider,11.0,14.0,12.0,12.0,14.0,9.0,11.0,12.0,14.0,11.0,8.0,11.0,12.0
Weight,Acceleration,Off-road Traction,321,Rosalina,Biddybuggy,Monster,Cloud Glider,11.0,12.0,14.0,15.0,13.0,9.0,11.0,12.0,10.0,9.0,8.0,9.0,10.0
Weight,Acceleration,Off-road Traction,3935,Metal Mario,Landship,Roller,Super Glider,11.0,14.0,9.0,12.0,14.0,10.0,17.0,8.0,15.0,12.0,12.0,10.0,11.0
Weight,Acceleration,Off-road Traction,324,Rosalina,Landship,Off-Road,Peach Parasol,11.0,12.0,14.0,15.0,11.0,11.0,16.0,10.0,11.0,9.0,10.0,7.0,10.0
Weight,Acceleration,Off-road Traction,4027,Metal Mario,Biddybuggy,Roller,Peach Parasol,11.0,16.0,11.0,9.0,16.0,8.0,12.0,11.0,13.0,13.0,12.0,12.0,13.0
Weight,Acceleration,Off-road Traction,4000,Metal Mario,Landship,Roller,Peach Parasol,11.0,15.0,10.0,11.0,15.0,9.0,16.0,9.0,14.0,12.0,13.0,9.0,12.0
Weight,Acceleration,Off-road Traction,267,Mario,Landship,Monster,Peach Parasol,11.0,12.0,9.0,15.0,12.0,9.0,13.0,9.0,10.0,9.0,11.0,6.0,10.0
Weight,Acceleration,Off-road Traction,67,Rosalina,Landship,Monster,Cloud Glider,11.0,11.0,13.0,17.0,12.0,10.0,15.0,10.0,11.0,8.0,9.0,6.0,9.0
Weight,Acceleration,Off-road Traction,1715,Metal Mario,Landship,Sponge,Cloud Glider,11.0,13.0,11.0,14.0,13.0,10.0,15.0,10.0,15.0,10.0,9.0,8.0,11.0
Weight,Acceleration,Off-road Traction,915,Koopa Troopa,Tanooki Kart,Monster,Wario Wing,11.0,9.0,10.0,19.0,10.0,7.0,8.0,8.0,8.0,13.0,14.0,11.0,13.0
Weight,Acceleration,Off-road Traction,907,Toad,Tanooki Kart,Monster,Super Glider,11.0,9.0,11.0,19.0,9.0,8.0,10.0,8.0,9.0,12.0,12.0,11.0,12.0
Weight,Acceleration,Off-road Traction,1298,Toad,Tanooki Kart,Monster,Peach Parasol,11.0,10.0,12.0,18.0,10.0,7.0,9.0,9.0,8.0,12.0,13.0,10.0,13.0
Weight,Acceleration,Off-road Traction,3957,Metal Mario,Biddybuggy,Standard,Cloud Glider,12.0,14.0,12.0,11.0,13.0,10.0,13.0,13.0,13.0,12.0,10.0,12.0,12.0
Weight,Acceleration,Off-road Traction,3959,Metal Mario,Biddybuggy,Sponge,Peach Parasol,12.0,14.0,13.0,11.0,14.0,9.0,10.0,12.0,14.0,11.0,9.0,10.0,12.0
Weight,Acceleration,Off-road Traction,3960,Metal Mario,Landship,Roller,Wario Wing,12.0,14.0,10.0,11.0,14.0,10.0,16.0,9.0,15.0,12.0,13.0,9.0,11.0
Weight,Acceleration,Off-road Traction,3918,Metal Mario,Landship,Standard,Cloud Glider,12.0,13.0,11.0,13.0,12.0,11.0,17.0,11.0,14.0,11.0,11.0,9.0,11.0
