,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling,Character,Kart,Wheel,Glider
4861,1.0,18.0,5.0,15.0,19.0,2.0,9.0,2.0,7.0,19.0,20.0,16.0,19.0,Baby Peach,Landship,Roller,Peach Parasol
5267,1.0,16.0,7.0,10.0,17.0,5.0,6.0,6.0,8.0,16.0,17.0,18.0,16.0,Baby Rosalina,Blue Falcon,Roller,Peach Parasol
4919,1.0,16.0,8.0,14.0,17.0,4.0,6.0,8.0,7.0,18.0,16.0,19.0,17.0,Baby Peach,Standard Bike,Button,Cloud Glider
5212,1.0,17.0,7.0,16.0,18.0,3.0,8.0,3.0,8.0,16.0,15.0,14.0,17.0,Baby Rosalina,Landship,Sponge,Cloud Glider
5150,1.0,14.0,7.0,9.0,16.0,6.0,7.0,7.0,7.0,16.0,15.0,16.0,16.0,Baby Rosalina,Prancer,Button,Cloud Glider
4878,1.0,16.0,6.0,18.0,18.0,3.0,8.0,3.0,8.0,17.0,16.0,15.0,18.0,Baby Peach,Landship,Sponge,Cloud Glider
5264,1.0,15.0,6.0,11.0,16.0,6.0,7.0,5.0,9.0,16.0,16.0,19.0,15.0,Baby Rosalina,Blue Falcon,Roller,Super Glider
4952,1.0,13.0,6.0,12.0,15.0,7.0,6.0,7.0,8.0,16.0,16.0,20.0,14.0,Baby Peach,Blue Falcon,Button,Super Glider
4938,1.0,14.0,5.0,13.0,16.0,6.0,7.0,5.0,9.0,17.0,17.0,20.0,16.0,Baby Peach,Blue Falcon,Roller,Super Glider
4869,1.0,16.0,5.0,15.0,17.0,4.0,9.0,3.0,7.0,18.0,18.0,17.0,16.0,Baby Peach,Landship,Button,Super Glider
5142,1.0,15.0,6.0,10.0,17.0,5.0,8.0,5.0,8.0,17.0,16.0,16.0,18.0,Baby Rosalina,Prancer,Roller,Cloud Glider
5249,1.0,17.0,9.0,12.0,17.0,4.0,6.0,8.0,7.0,17.0,15.0,18.0,16.0,Baby Rosalina,Standard Bike,Button,Cloud Glider
4872,1.0,17.0,6.0,14.0,18.0,3.0,8.0,4.0,6.0,18.0,19.0,16.0,17.0,Baby Peach,Landship,Button,Peach Parasol
5038,1.0,18.0,9.0,11.0,18.0,3.0,7.0,5.0,5.0,18.0,16.0,18.0,15.0,Baby Rosalina,Pipe Frame,Button,Cloud Glider
4498,1.0,20.0,4.0,13.0,20.0,2.0,7.0,5.0,7.0,18.0,16.0,18.0,18.0,Baby Mario,Biddybuggy,Roller,Cloud Glider
4941,1.0,15.0,6.0,12.0,17.0,5.0,6.0,6.0,8.0,17.0,18.0,19.0,17.0,Baby Peach,Blue Falcon,Roller,Peach Parasol
5029,1.0,19.0,8.0,12.0,19.0,2.0,8.0,3.0,6.0,19.0,17.0,18.0,17.0,Baby Rosalina,Pipe Frame,Roller,Cloud Glider
5206,1.0,18.0,7.0,12.0,18.0,3.0,8.0,4.0,6.0,17.0,18.0,15.0,16.0,Baby Rosalina,Landship,Button,Peach Parasol
5169,1.0,19.0,6.0,12.0,19.0,2.0,6.0,3.0,7.0,19.0,17.0,19.0,18.0,Baby Rosalina,Biddybuggy,Roller,Super Glider
5197,1.0,18.0,5.0,14.0,18.0,3.0,10.0,1.0,8.0,18.0,18.0,16.0,17.0,Baby Rosalina,Landship,Roller,Super Glider
4841,1.0,18.0,7.0,12.0,19.0,2.0,4.0,6.0,5.0,19.0,18.0,19.0,18.0,Baby Peach,Biddybuggy,Button,Peach Parasol
4832,1.0,19.0,6.0,13.0,20.0,1.0,5.0,4.0,6.0,20.0,19.0,19.0,20.0,Baby Peach,Biddybuggy,Roller,Peach Parasol
4838,1.0,17.0,6.0,13.0,18.0,3.0,5.0,5.0,6.0,19.0,17.0,20.0,17.0,Baby Peach,Biddybuggy,Button,Super Glider
5172,1.0,20.0,7.0,11.0,20.0,1.0,5.0,4.0,6.0,19.0,18.0,18.0,19.0,Baby Rosalina,Biddybuggy,Roller,Peach Parasol
4810,1.0,13.0,6.0,11.0,16.0,6.0,7.0,7.0,7.0,17.0,16.0,17.0,17.0,Baby Peach,Prancer,Button,Cloud Glider
5177,1.0,18.0,7.0,11.0,18.0,3.0,5.0,5.0,6.0,18.0,16.0,19.0,16.0,Baby Rosalina,Biddybuggy,Button,Super Glider
5180,1.0,19.0,8.0,10.0,19.0,2.0,4.0,6.0,5.0,18.0,17.0,18.0,17.0,Baby Rosalina,Biddybuggy,Button,Peach Parasol
4655,1.0,18.0,7.0,14.0,19.0,2.0,8.0,3.0,6.0,20.0,18.0,19.0,18.0,Baby Peach,Pipe Frame,Roller,Cloud Glider
4847,1.0,17.0,7.0,16.0,19.0,2.0,4.0,5.0,7.0,18.0,15.0,18.0,19.0,Baby Peach,Biddybuggy,Sponge,Cloud Glider
4829,1.0,18.0,5.0,14.0,19.0,2.0,6.0,3.0,7.0,20.0,18.0,20.0,19.0,Baby Peach,Biddybuggy,Roller,Super Glider
5277,1.0,15.0,8.0,9.0,16.0,6.0,5.0,8.0,7.0,15.0,16.0,18.0,14.0,Baby Rosalina,Blue Falcon,Button,Peach Parasol
5186,1.0,18.0,8.0,14.0,19.0,2.0,4.0,5.0,7.0,17.0,14.0,17.0,18.0,Baby Rosalina,Biddybuggy,Sponge,Cloud Glider
5200,1.0,19.0,6.0,13.0,19.0,2.0,9.0,2.0,7.0,18.0,19.0,15.0,18.0,Baby Rosalina,Landship,Roller,Peach Parasol
4955,1.0,14.0,7.0,11.0,16.0,6.0,5.0,8.0,7.0,16.0,17.0,19.0,15.0,Baby Peach,Blue Falcon,Button,Peach Parasol
4668,1.0,17.0,8.0,13.0,18.0,3.0,7.0,5.0,5.0,19.0,17.0,19.0,16.0,Baby Peach,Pipe Frame,Button,Cloud Glider
5037,2.0,17.0,9.0,11.0,17.0,4.0,7.0,4.0,6.0,18.0,16.0,18.0,14.0,Baby Rosalina,Pipe Frame,Button,Super Glider
1750,2.0,19.0,7.0,10.0,18.0,4.0,7.0,8.0,7.0,16.0,14.0,17.0,15.0,Toadette,Biddybuggy,Button,Cloud Glider
5111,2.0,18.0,9.0,11.0,19.0,3.0,7.0,5.0,9.0,18.0,15.0,17.0,19.0,Baby Rosalina,Cat Cruiser,Roller,Cloud Glider
4840,2.0,17.0,7.0,12.0,18.0,3.0,4.0,6.0,6.0,19.0,18.0,19.0,17.0,Baby Peach,Biddybuggy,Button,Wario Wing
5251,2.0,17.0,10.0,11.0,17.0,4.0,5.0,8.0,7.0,17.0,16.0,17.0,16.0,Baby Rosalina,Standard Bike,Button,Peach Parasol
4834,2.0,15.0,9.0,11.0,17.0,4.0,5.0,8.0,5.0,20.0,18.0,19.0,20.0,Baby Peach,Biddybuggy,Slim,Cloud Glider
4877,2.0,15.0,6.0,18.0,17.0,4.0,8.0,2.0,9.0,17.0,16.0,15.0,17.0,Baby Peach,Landship,Sponge,Super Glider
4497,2.0,19.0,4.0,13.0,19.0,3.0,7.0,4.0,8.0,18.0,16.0,18.0,17.0,Baby Mario,Biddybuggy,Roller,Super Glider
4804,2.0,14.0,6.0,11.0,17.0,5.0,7.0,5.0,8.0,18.0,18.0,16.0,19.0,Baby Peach,Prancer,Roller,Peach Parasol
4880,2.0,16.0,7.0,17.0,18.0,3.0,7.0,3.0,8.0,17.0,17.0,14.0,18.0,Baby Peach,Landship,Sponge,Peach Parasol
4500,2.0,20.0,5.0,12.0,20.0,2.0,6.0,5.0,7.0,18.0,17.0,17.0,18.0,Baby Mario,Biddybuggy,Roller,Peach Parasol
1770,2.0,19.0,5.0,13.0,18.0,4.0,12.0,4.0,9.0,16.0,16.0,14.0,16.0,Toadette,Landship,Roller,Cloud Glider
4885,2.0,14.0,5.0,10.0,17.0,5.0,7.0,5.0,8.0,18.0,16.0,18.0,18.0,Baby Peach,Sneeker,Roller,Cloud Glider
5031,2.0,19.0,9.0,11.0,19.0,2.0,7.0,3.0,6.0,19.0,18.0,17.0,17.0,Baby Rosalina,Pipe Frame,Roller,Peach Parasol
5120,2.0,17.0,10.0,10.0,18.0,4.0,6.0,7.0,8.0,17.0,14.0,17.0,17.0,Baby Rosalina,Cat Cruiser,Button,Cloud Glider
5241,2.0,18.0,9.0,12.0,18.0,3.0,6.0,6.0,8.0,18.0,17.0,17.0,18.0,Baby Rosalina,Standard Bike,Roller,Peach Parasol
4831,2.0,18.0,6.0,13.0,19.0,2.0,5.0,4.0,7.0,20.0,19.0,19.0,19.0,Baby Peach,Biddybuggy,Roller,Wario Wing
4558,2.0,17.0,7.0,13.0,17.0,5.0,7.0,9.0,8.0,16.0,14.0,17.0,15.0,Baby Mario,Standard Bike,Button,Cloud Glider
2133,2.0,18.0,2.0,16.0,18.0,4.0,12.0,4.0,9.0,17.0,17.0,15.0,17.0,Koopa Troopa,Landship,Roller,Cloud Glider
4893,2.0,13.0,6.0,9.0,16.0,6.0,6.0,7.0,7.0,17.0,15.0,18.0,16.0,Baby Peach,Sneeker,Button,Cloud Glider
1782,2.0,18.0,6.0,12.0,17.0,5.0,11.0,6.0,8.0,15.0,15.0,14.0,14.0,Toadette,Landship,Button,Cloud Glider
5028,2.0,18.0,8.0,12.0,18.0,3.0,8.0,2.0,7.0,19.0,17.0,18.0,16.0,Baby Rosalina,Pipe Frame,Roller,Super Glider
5248,2.0,16.0,9.0,12.0,16.0,5.0,6.0,7.0,8.0,17.0,15.0,18.0,15.0,Baby Rosalina,Standard Bike,Button,Super Glider
4871,2.0,16.0,6.0,14.0,17.0,4.0,8.0,4.0,7.0,18.0,19.0,16.0,16.0,Baby Peach,Landship,Button,Wario Wing
4394,2.0,18.0,7.0,12.0,18.0,4.0,8.0,6.0,6.0,17.0,15.0,17.0,14.0,Baby Mario,Pipe Frame,Button,Cloud Glider
4822,2.0,17.0,7.0,15.0,18.0,3.0,6.0,6.0,6.0,19.0,17.0,19.0,19.0,Baby Peach,Biddybuggy,Standard,Cloud Glider
4676,2.0,16.0,9.0,16.0,18.0,3.0,6.0,4.0,7.0,18.0,15.0,17.0,17.0,Baby Peach,Pipe Frame,Sponge,Cloud Glider
4573,2.0,15.0,4.0,12.0,16.0,7.0,8.0,6.0,10.0,15.0,15.0,18.0,14.0,Baby Mario,Blue Falcon,Roller,Super Glider
2143,2.0,17.0,3.0,15.0,17.0,5.0,11.0,6.0,8.0,16.0,16.0,15.0,15.0,Koopa Troopa,Landship,Button,Cloud Glider
5276,2.0,14.0,8.0,9.0,15.0,7.0,5.0,8.0,8.0,15.0,16.0,18.0,13.0,Baby Rosalina,Blue Falcon,Button,Wario Wing
4851,2.0,16.0,6.0,17.0,17.0,4.0,10.0,4.0,7.0,18.0,18.0,16.0,18.0,Baby Peach,Landship,Standard,Cloud Glider
4801,2.0,13.0,5.0,12.0,16.0,6.0,8.0,4.0,9.0,18.0,17.0,17.0,18.0,Baby Peach,Prancer,Roller,Super Glider
4849,2.0,17.0,8.0,15.0,19.0,2.0,3.0,5.0,7.0,18.0,16.0,17.0,19.0,Baby Peach,Biddybuggy,Sponge,Peach Parasol
4809,2.0,12.0,6.0,11.0,15.0,7.0,7.0,6.0,8.0,17.0,16.0,17.0,16.0,Baby Peach,Prancer,Button,Super Glider
2113,2.0,18.0,4.0,13.0,18.0,4.0,7.0,8.0,7.0,17.0,15.0,18.0,16.0,Koopa Troopa,Biddybuggy,Button,Cloud Glider
4576,2.0,16.0,5.0,11.0,17.0,6.0,7.0,7.0,9.0,15.0,16.0,17.0,15.0,Baby Mario,Blue Falcon,Roller,Peach Parasol
4550,2.0,18.0,6.0,14.0,18.0,4.0,8.0,7.0,9.0,17.0,15.0,17.0,17.0,Baby Mario,Standard Bike,Roller,Cloud Glider
4812,2.0,13.0,7.0,10.0,16.0,6.0,6.0,7.0,7.0,17.0,17.0,16.0,17.0,Baby Peach,Prancer,Button,Peach Parasol
4635,2.0,15.0,8.0,12.0,17.0,5.0,7.0,7.0,7.0,17.0,15.0,18.0,17.0,Baby Peach,Standard Kart,Button,Cloud Glider
1741,2.0,20.0,6.0,11.0,19.0,3.0,8.0,6.0,8.0,17.0,15.0,17.0,17.0,Toadette,Biddybuggy,Roller,Cloud Glider
4860,2.0,17.0,5.0,15.0,18.0,3.0,9.0,2.0,8.0,19.0,20.0,16.0,18.0,Baby Peach,Landship,Roller,Wario Wing
2105,2.0,19.0,3.0,14.0,19.0,3.0,8.0,6.0,8.0,18.0,16.0,18.0,18.0,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
4863,2.0,14.0,8.0,13.0,16.0,5.0,9.0,6.0,6.0,19.0,19.0,16.0,19.0,Baby Peach,Landship,Slim,Cloud Glider
5266,2.0,15.0,7.0,10.0,16.0,6.0,6.0,6.0,9.0,16.0,17.0,18.0,15.0,Baby Rosalina,Blue Falcon,Roller,Wario Wing
4386,2.0,19.0,6.0,13.0,19.0,3.0,9.0,4.0,7.0,18.0,16.0,17.0,16.0,Baby Mario,Pipe Frame,Roller,Cloud Glider
4654,2.0,17.0,7.0,14.0,18.0,3.0,8.0,2.0,7.0,20.0,18.0,19.0,17.0,Baby Peach,Pipe Frame,Roller,Super Glider
4818,2.0,12.0,7.0,14.0,16.0,6.0,6.0,6.0,9.0,16.0,14.0,15.0,18.0,Baby Peach,Prancer,Sponge,Cloud Glider
4846,2.0,16.0,7.0,16.0,18.0,3.0,4.0,4.0,8.0,18.0,15.0,18.0,18.0,Baby Peach,Biddybuggy,Sponge,Super Glider
5046,2.0,17.0,10.0,14.0,18.0,3.0,6.0,4.0,7.0,17.0,14.0,16.0,16.0,Baby Rosalina,Pipe Frame,Sponge,Cloud Glider
5261,2.0,14.0,8.0,12.0,15.0,7.0,7.0,8.0,8.0,15.0,15.0,18.0,15.0,Baby Rosalina,Blue Falcon,Standard,Cloud Glider
4538,2.0,17.0,5.0,17.0,18.0,4.0,9.0,4.0,9.0,15.0,14.0,13.0,16.0,Baby Mario,Landship,Sponge,Cloud Glider
5040,2.0,18.0,10.0,10.0,18.0,3.0,6.0,5.0,5.0,18.0,17.0,17.0,15.0,Baby Rosalina,Pipe Frame,Button,Peach Parasol
5257,2.0,16.0,10.0,15.0,17.0,4.0,5.0,7.0,9.0,16.0,13.0,16.0,17.0,Baby Rosalina,Standard Bike,Sponge,Cloud Glider
4657,2.0,18.0,8.0,13.0,19.0,2.0,7.0,3.0,6.0,20.0,19.0,18.0,18.0,Baby Peach,Pipe Frame,Roller,Peach Parasol
5269,2.0,12.0,10.0,8.0,14.0,8.0,6.0,10.0,7.0,16.0,16.0,18.0,16.0,Baby Rosalina,Blue Falcon,Slim,Cloud Glider
4505,2.0,18.0,5.0,12.0,18.0,4.0,6.0,6.0,7.0,17.0,15.0,18.0,15.0,Baby Mario,Biddybuggy,Button,Super Glider
5238,2.0,17.0,8.0,13.0,17.0,4.0,7.0,5.0,9.0,18.0,16.0,18.0,17.0,Baby Rosalina,Standard Bike,Roller,Super Glider
4762,2.0,16.0,9.0,12.0,18.0,4.0,6.0,7.0,8.0,18.0,15.0,18.0,18.0,Baby Peach,Cat Cruiser,Button,Cloud Glider
4927,2.0,15.0,9.0,17.0,17.0,4.0,5.0,7.0,9.0,17.0,14.0,17.0,18.0,Baby Peach,Standard Bike,Sponge,Cloud Glider
5141,2.0,14.0,6.0,10.0,16.0,6.0,8.0,4.0,9.0,17.0,16.0,16.0,17.0,Baby Rosalina,Prancer,Roller,Super Glider
5144,2.0,15.0,7.0,9.0,17.0,5.0,7.0,5.0,8.0,17.0,17.0,15.0,18.0,Baby Rosalina,Prancer,Roller,Peach Parasol
4931,2.0,13.0,7.0,14.0,15.0,7.0,7.0,8.0,8.0,16.0,16.0,19.0,16.0,Baby Peach,Blue Falcon,Standard,Cloud Glider
4667,2.0,16.0,8.0,13.0,17.0,4.0,7.0,4.0,6.0,19.0,17.0,19.0,15.0,Baby Peach,Pipe Frame,Button,Super Glider
4751,2.0,17.0,8.0,13.0,19.0,3.0,7.0,5.0,9.0,19.0,16.0,18.0,20.0,Baby Peach,Cat Cruiser,Roller,Cloud Glider
5149,2.0,13.0,7.0,9.0,15.0,7.0,7.0,6.0,8.0,16.0,15.0,16.0,15.0,Baby Rosalina,Prancer,Button,Super Glider
4940,2.0,14.0,6.0,12.0,16.0,6.0,6.0,6.0,9.0,17.0,18.0,19.0,16.0,Baby Peach,Blue Falcon,Roller,Wario Wing
1858,2.0,16.0,6.0,10.0,16.0,7.0,9.0,8.0,10.0,14.0,14.0,17.0,14.0,Toadette,Blue Falcon,Roller,Cloud Glider
5152,2.0,14.0,8.0,8.0,16.0,6.0,6.0,7.0,7.0,16.0,16.0,15.0,16.0,Baby Rosalina,Prancer,Button,Peach Parasol
5205,2.0,17.0,7.0,12.0,17.0,4.0,8.0,4.0,7.0,17.0,18.0,15.0,15.0,Baby Rosalina,Landship,Button,Wario Wing
4999,2.0,17.0,8.0,11.0,18.0,4.0,8.0,5.0,8.0,17.0,15.0,17.0,18.0,Baby Rosalina,Standard Kart,Roller,Cloud Glider
4528,2.0,19.0,4.0,14.0,19.0,3.0,10.0,3.0,8.0,17.0,18.0,14.0,17.0,Baby Mario,Landship,Roller,Peach Parasol
1872,2.0,15.0,7.0,9.0,15.0,8.0,8.0,10.0,9.0,13.0,13.0,17.0,12.0,Toadette,Blue Falcon,Button,Cloud Glider
5185,2.0,17.0,8.0,14.0,18.0,3.0,4.0,4.0,8.0,17.0,14.0,17.0,17.0,Baby Rosalina,Biddybuggy,Sponge,Super Glider
5158,2.0,13.0,8.0,12.0,16.0,6.0,6.0,6.0,9.0,15.0,13.0,14.0,17.0,Baby Rosalina,Prancer,Sponge,Cloud Glider
4525,2.0,18.0,3.0,15.0,18.0,4.0,11.0,2.0,9.0,17.0,17.0,15.0,16.0,Baby Mario,Landship,Roller,Super Glider
4670,2.0,17.0,9.0,12.0,18.0,3.0,6.0,5.0,5.0,19.0,18.0,18.0,16.0,Baby Peach,Pipe Frame,Button,Peach Parasol
5188,2.0,18.0,9.0,13.0,19.0,2.0,3.0,5.0,7.0,17.0,15.0,16.0,18.0,Baby Rosalina,Biddybuggy,Sponge,Peach Parasol
5179,2.0,18.0,8.0,10.0,18.0,3.0,4.0,6.0,6.0,18.0,17.0,18.0,16.0,Baby Rosalina,Biddybuggy,Button,Wario Wing
5190,2.0,17.0,7.0,15.0,17.0,4.0,10.0,4.0,7.0,17.0,17.0,15.0,17.0,Baby Rosalina,Landship,Standard,Cloud Glider
5174,2.0,16.0,10.0,9.0,17.0,4.0,5.0,8.0,5.0,19.0,17.0,18.0,19.0,Baby Rosalina,Biddybuggy,Slim,Cloud Glider
2216,2.0,14.0,4.0,12.0,15.0,8.0,8.0,10.0,9.0,14.0,14.0,18.0,13.0,Koopa Troopa,Blue Falcon,Button,Cloud Glider
5009,2.0,16.0,9.0,10.0,17.0,5.0,7.0,7.0,7.0,16.0,14.0,17.0,16.0,Baby Rosalina,Standard Kart,Button,Cloud Glider
5171,2.0,19.0,7.0,11.0,19.0,2.0,5.0,4.0,7.0,19.0,18.0,18.0,18.0,Baby Rosalina,Biddybuggy,Roller,Wario Wing
5162,2.0,18.0,8.0,13.0,18.0,3.0,6.0,6.0,6.0,18.0,16.0,18.0,18.0,Baby Rosalina,Biddybuggy,Standard,Cloud Glider
4584,2.0,15.0,6.0,10.0,16.0,7.0,6.0,9.0,8.0,14.0,15.0,17.0,13.0,Baby Mario,Blue Falcon,Button,Peach Parasol
4954,2.0,13.0,7.0,11.0,15.0,7.0,5.0,8.0,8.0,16.0,17.0,19.0,14.0,Baby Peach,Blue Falcon,Button,Wario Wing
2206,2.0,15.0,3.0,13.0,16.0,7.0,9.0,8.0,10.0,15.0,15.0,18.0,15.0,Koopa Troopa,Blue Falcon,Roller,Cloud Glider
4581,2.0,14.0,5.0,11.0,15.0,8.0,7.0,8.0,9.0,14.0,14.0,18.0,12.0,Baby Mario,Blue Falcon,Button,Super Glider
5202,2.0,15.0,9.0,11.0,16.0,5.0,9.0,6.0,6.0,18.0,18.0,15.0,18.0,Baby Rosalina,Landship,Slim,Cloud Glider
5199,2.0,18.0,6.0,13.0,18.0,3.0,9.0,2.0,8.0,18.0,19.0,15.0,17.0,Baby Rosalina,Landship,Roller,Wario Wing
5211,2.0,16.0,7.0,16.0,17.0,4.0,8.0,2.0,9.0,16.0,15.0,14.0,16.0,Baby Rosalina,Landship,Sponge,Super Glider
4943,2.0,11.0,9.0,10.0,14.0,8.0,6.0,10.0,7.0,17.0,17.0,19.0,17.0,Baby Peach,Blue Falcon,Slim,Cloud Glider
4918,2.0,15.0,8.0,14.0,16.0,5.0,6.0,7.0,8.0,18.0,16.0,19.0,16.0,Baby Peach,Standard Bike,Button,Super Glider
4921,2.0,16.0,9.0,13.0,17.0,4.0,5.0,8.0,7.0,18.0,17.0,18.0,17.0,Baby Peach,Standard Bike,Button,Peach Parasol
5225,2.0,14.0,7.0,7.0,16.0,6.0,6.0,7.0,7.0,16.0,14.0,17.0,15.0,Baby Rosalina,Sneeker,Button,Cloud Glider
4625,2.0,16.0,7.0,13.0,18.0,4.0,8.0,5.0,8.0,18.0,16.0,18.0,19.0,Baby Peach,Standard Kart,Roller,Cloud Glider
4909,2.0,17.0,8.0,14.0,18.0,3.0,6.0,6.0,8.0,19.0,18.0,18.0,19.0,Baby Peach,Standard Bike,Roller,Peach Parasol
4508,2.0,19.0,6.0,11.0,19.0,3.0,5.0,7.0,6.0,17.0,16.0,17.0,16.0,Baby Mario,Biddybuggy,Button,Peach Parasol
5219,2.0,15.0,6.0,8.0,17.0,5.0,7.0,5.0,8.0,17.0,15.0,17.0,17.0,Baby Rosalina,Sneeker,Roller,Cloud Glider
4514,2.0,18.0,6.0,15.0,19.0,3.0,5.0,6.0,8.0,16.0,13.0,16.0,17.0,Baby Mario,Biddybuggy,Sponge,Cloud Glider
4906,2.0,16.0,7.0,15.0,17.0,4.0,7.0,5.0,9.0,19.0,17.0,19.0,18.0,Baby Peach,Standard Bike,Roller,Super Glider
5214,2.0,17.0,8.0,15.0,18.0,3.0,7.0,3.0,8.0,16.0,16.0,13.0,17.0,Baby Rosalina,Landship,Sponge,Peach Parasol
4892,3.0,12.0,6.0,9.0,15.0,7.0,6.0,6.0,8.0,17.0,15.0,18.0,15.0,Baby Peach,Sneeker,Button,Super Glider
4874,3.0,15.0,7.0,18.0,15.0,5.0,11.0,4.0,5.0,16.0,16.0,15.0,17.0,Baby Peach,Landship,Off-Road,Cloud Glider
1440,3.0,14.0,6.0,11.0,15.0,9.0,9.0,11.0,10.0,13.0,13.0,17.0,12.0,Toad,Blue Falcon,Button,Cloud Glider
1338,3.0,18.0,4.0,15.0,18.0,5.0,13.0,5.0,10.0,16.0,16.0,14.0,16.0,Toad,Landship,Roller,Cloud Glider
5058,3.0,16.0,7.0,12.0,18.0,4.0,8.0,7.0,9.0,16.0,15.0,18.0,17.0,Baby Rosalina,Mach 8,Roller,Cloud Glider
4848,3.0,16.0,8.0,15.0,18.0,3.0,3.0,5.0,8.0,18.0,16.0,17.0,18.0,Baby Peach,Biddybuggy,Sponge,Wario Wing
2142,3.0,16.0,3.0,15.0,16.0,6.0,11.0,5.0,9.0,16.0,16.0,15.0,14.0,Koopa Troopa,Landship,Button,Super Glider
4957,3.0,12.0,8.0,15.0,13.0,8.0,8.0,8.0,6.0,14.0,14.0,18.0,15.0,Baby Peach,Blue Falcon,Off-Road,Cloud Glider
4483,3.0,15.0,5.0,10.0,17.0,6.0,8.0,6.0,9.0,16.0,16.0,14.0,17.0,Baby Mario,Prancer,Roller,Peach Parasol
5905,3.0,19.0,4.0,12.0,18.0,5.0,10.0,8.0,10.0,16.0,14.0,16.0,16.0,Cat Peach,Biddybuggy,Roller,Cloud Glider
4850,3.0,15.0,6.0,17.0,16.0,5.0,10.0,3.0,8.0,18.0,18.0,16.0,17.0,Baby Peach,Landship,Standard,Super Glider
2208,3.0,15.0,4.0,12.0,16.0,7.0,8.0,8.0,10.0,15.0,16.0,17.0,15.0,Koopa Troopa,Blue Falcon,Roller,Peach Parasol
5021,3.0,17.0,10.0,13.0,17.0,4.0,8.0,5.0,6.0,18.0,16.0,17.0,16.0,Baby Rosalina,Pipe Frame,Standard,Cloud Glider
