Coord1,Coord2,Coord3,Ind,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Acceleration,Off-road Traction,36,2.0,18.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,12,3.0,19.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,31,3.0,20.0,,10.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,22,3.0,18.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,38,3.0,16.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,33,3.0,17.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,25,4.0,16.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,23,4.0,18.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,13,4.0,19.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,16,4.0,17.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,17,5.0,16.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,7,5.0,18.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,37,5.0,15.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,8,5.0,17.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,88,6.0,18.0,,9.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,14,6.0,16.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,35,6.0,14.0,,19.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,9,6.0,17.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,24,6.0,15.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,34,7.0,13.0,,19.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,0,7.0,17.0,,10.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,10,7.0,15.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,19,7.0,14.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,15,7.0,16.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,21,8.0,14.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,42,8.0,16.0,,11.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,41,8.0,11.0,,19.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,11,8.0,15.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,18,8.0,13.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,40,9.0,10.0,,20.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,6,9.0,14.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,30,9.0,11.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,20,9.0,13.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,63,10.0,16.0,,10.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,5,10.0,13.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,39,10.0,9.0,,20.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,1,10.0,12.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,27,10.0,10.0,,19.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,73,10.0,15.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,2,11.0,12.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,76,11.0,13.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,74,11.0,15.0,,11.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,67,11.0,14.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,64,11.0,16.0,,9.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,26,11.0,9.0,,19.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,44,11.0,11.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,29,11.0,10.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,43,12.0,10.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,53,12.0,15.0,,9.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,28,12.0,9.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,46,12.0,11.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,59,12.0,14.0,,11.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,68,12.0,13.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,60,13.0,14.0,,10.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,3,13.0,8.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,75,13.0,12.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,45,13.0,10.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,65,13.0,13.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,66,14.0,13.0,,11.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,70,14.0,11.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,48,14.0,7.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,61,14.0,12.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,4,14.0,8.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,72,15.0,11.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,69,15.0,10.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,47,15.0,6.0,,18.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,62,15.0,12.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,50,15.0,7.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,71,16.0,10.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,82,16.0,8.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,49,16.0,6.0,,17.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,52,16.0,11.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,83,17.0,8.0,,14.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,79,17.0,7.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,51,17.0,10.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,77,17.0,9.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,81,18.0,7.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,55,18.0,8.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,78,18.0,6.0,,16.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,57,18.0,9.0,,11.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,80,19.0,6.0,,15.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,54,19.0,7.0,,12.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,58,20.0,4.0,,13.0,,,,,,,,,
Weight,Acceleration,Off-road Traction,56,20.0,5.0,,11.0,,,,,,,,,
Weight,Acceleration,Mini-Turbo,16,2.0,20.0,,,20.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,5,3.0,20.0,,,19.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,4,4.0,19.0,,,19.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,3,5.0,18.0,,,19.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,17,6.0,18.0,,,18.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,2,7.0,17.0,,,18.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,0,8.0,16.0,,,17.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,1,9.0,15.0,,,17.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,15,11.0,16.0,,,16.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,7,12.0,15.0,,,15.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,14,13.0,14.0,,,15.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,13,14.0,13.0,,,14.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,10,15.0,12.0,,,13.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,6,16.0,11.0,,,12.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,12,17.0,10.0,,,12.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,11,18.0,9.0,,,11.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,8,19.0,7.0,,,10.0,,,,,,,,
Weight,Acceleration,Mini-Turbo,9,20.0,5.0,,,8.0,,,,,,,,
Weight,Acceleration,Ground Speed,1,3.0,20.0,,,,3.0,,,,,,,
Weight,Acceleration,Ground Speed,36,4.0,19.0,,,,5.0,,,,,,,
Weight,Acceleration,Ground Speed,35,6.0,18.0,,,,6.0,,,,,,,
Weight,Acceleration,Ground Speed,0,7.0,17.0,,,,7.0,,,,,,,
Weight,Acceleration,Ground Speed,24,9.0,16.0,,,,9.0,,,,,,,
Weight,Acceleration,Ground Speed,22,11.0,15.0,,,,10.0,,,,,,,
Weight,Acceleration,Ground Speed,34,11.0,16.0,,,,8.0,,,,,,,
Weight,Acceleration,Ground Speed,28,12.0,15.0,,,,9.0,,,,,,,
Weight,Acceleration,Ground Speed,7,12.0,14.0,,,,11.0,,,,,,,
Weight,Acceleration,Ground Speed,6,13.0,13.0,,,,12.0,,,,,,,
Weight,Acceleration,Ground Speed,27,13.0,14.0,,,,10.0,,,,,,,
Weight,Acceleration,Ground Speed,26,14.0,13.0,,,,11.0,,,,,,,
Weight,Acceleration,Ground Speed,5,14.0,12.0,,,,13.0,,,,,,,
Weight,Acceleration,Ground Speed,23,15.0,7.0,,,,18.0,,,,,,,
Weight,Acceleration,Ground Speed,25,15.0,12.0,,,,12.0,,,,,,,
Weight,Acceleration,Ground Speed,4,15.0,11.0,,,,14.0,,,,,,,
Weight,Acceleration,Ground Speed,8,16.0,10.0,,,,15.0,,,,,,,
Weight,Acceleration,Ground Speed,29,16.0,11.0,,,,13.0,,,,,,,
Weight,Acceleration,Ground Speed,33,17.0,10.0,,,,14.0,,,,,,,
Weight,Acceleration,Ground Speed,15,17.0,9.0,,,,16.0,,,,,,,
Weight,Acceleration,Ground Speed,2,17.0,6.0,,,,18.0,,,,,,,
Weight,Acceleration,Ground Speed,3,17.0,8.0,,,,17.0,,,,,,,
Weight,Acceleration,Ground Speed,32,18.0,9.0,,,,13.0,,,,,,,
Weight,Acceleration,Ground Speed,18,18.0,5.0,,,,19.0,,,,,,,
Weight,Acceleration,Ground Speed,16,18.0,3.0,,,,20.0,,,,,,,
Weight,Acceleration,Ground Speed,14,18.0,8.0,,,,15.0,,,,,,,
Weight,Acceleration,Ground Speed,10,18.0,7.0,,,,17.0,,,,,,,
Weight,Acceleration,Ground Speed,17,19.0,2.0,,,,20.0,,,,,,,
Weight,Acceleration,Ground Speed,13,19.0,5.0,,,,18.0,,,,,,,
Weight,Acceleration,Ground Speed,30,19.0,7.0,,,,14.0,,,,,,,
Weight,Acceleration,Ground Speed,9,19.0,6.0,,,,16.0,,,,,,,
Weight,Acceleration,Ground Speed,21,19.0,4.0,,,,19.0,,,,,,,
Weight,Acceleration,Ground Speed,19,20.0,3.0,,,,18.0,,,,,,,
Weight,Acceleration,Ground Speed,12,20.0,2.0,,,,19.0,,,,,,,
Weight,Acceleration,Ground Speed,31,20.0,5.0,,,,15.0,,,,,,,
Weight,Acceleration,Ground Speed,11,20.0,4.0,,,,17.0,,,,,,,
Weight,Acceleration,Ground Speed,20,20.0,1.0,,,,20.0,,,,,,,
Weight,Acceleration,Water Speed,3,2.0,20.0,,,,,8.0,,,,,,
Weight,Acceleration,Water Speed,5,2.0,19.0,,,,,12.0,,,,,,
Weight,Acceleration,Water Speed,4,3.0,20.0,,,,,7.0,,,,,,
Weight,Acceleration,Water Speed,6,3.0,19.0,,,,,11.0,,,,,,
Weight,Acceleration,Water Speed,56,3.0,18.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,57,4.0,18.0,,,,,13.0,,,,,,
Weight,Acceleration,Water Speed,2,4.0,19.0,,,,,9.0,,,,,,
Weight,Acceleration,Water Speed,54,5.0,17.0,,,,,15.0,,,,,,
Weight,Acceleration,Water Speed,52,5.0,18.0,,,,,11.0,,,,,,
Weight,Acceleration,Water Speed,55,6.0,17.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,53,6.0,18.0,,,,,10.0,,,,,,
Weight,Acceleration,Water Speed,0,6.0,16.0,,,,,16.0,,,,,,
Weight,Acceleration,Water Speed,1,7.0,16.0,,,,,15.0,,,,,,
Weight,Acceleration,Water Speed,51,7.0,17.0,,,,,12.0,,,,,,
Weight,Acceleration,Water Speed,34,8.0,15.0,,,,,18.0,,,,,,
Weight,Acceleration,Water Speed,33,8.0,16.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,48,10.0,15.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,46,10.0,16.0,,,,,13.0,,,,,,
Weight,Acceleration,Water Speed,26,10.0,14.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,49,11.0,15.0,,,,,16.0,,,,,,
Weight,Acceleration,Water Speed,47,11.0,16.0,,,,,12.0,,,,,,
Weight,Acceleration,Water Speed,25,11.0,13.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,28,11.0,14.0,,,,,18.0,,,,,,
Weight,Acceleration,Water Speed,23,12.0,12.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,27,12.0,13.0,,,,,18.0,,,,,,
Weight,Acceleration,Water Speed,10,12.0,14.0,,,,,16.0,,,,,,
Weight,Acceleration,Water Speed,37,12.0,15.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,24,13.0,12.0,,,,,18.0,,,,,,
Weight,Acceleration,Water Speed,9,13.0,13.0,,,,,16.0,,,,,,
Weight,Acceleration,Water Speed,30,13.0,11.0,,,,,20.0,,,,,,
Weight,Acceleration,Water Speed,36,13.0,14.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,50,14.0,12.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,29,14.0,10.0,,,,,20.0,,,,,,
Weight,Acceleration,Water Speed,32,14.0,11.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,35,14.0,13.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,39,15.0,12.0,,,,,15.0,,,,,,
Weight,Acceleration,Water Speed,12,15.0,11.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,31,15.0,10.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,38,16.0,11.0,,,,,15.0,,,,,,
Weight,Acceleration,Water Speed,7,16.0,8.0,,,,,18.0,,,,,,
Weight,Acceleration,Water Speed,11,16.0,10.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,15,16.0,7.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,19,17.0,6.0,,,,,20.0,,,,,,
Weight,Acceleration,Water Speed,22,17.0,9.0,,,,,16.0,,,,,,
Weight,Acceleration,Water Speed,13,17.0,7.0,,,,,18.0,,,,,,
Weight,Acceleration,Water Speed,45,17.0,10.0,,,,,14.0,,,,,,
Weight,Acceleration,Water Speed,8,17.0,8.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,41,18.0,8.0,,,,,15.0,,,,,,
Weight,Acceleration,Water Speed,44,18.0,9.0,,,,,12.0,,,,,,
Weight,Acceleration,Water Speed,18,18.0,5.0,,,,,20.0,,,,,,
Weight,Acceleration,Water Speed,21,18.0,6.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,14,18.0,7.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,40,19.0,7.0,,,,,13.0,,,,,,
Weight,Acceleration,Water Speed,43,19.0,6.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,20,19.0,5.0,,,,,19.0,,,,,,
Weight,Acceleration,Water Speed,16,20.0,4.0,,,,,17.0,,,,,,
Weight,Acceleration,Water Speed,42,20.0,5.0,,,,,15.0,,,,,,
Weight,Acceleration,Water Speed,17,20.0,2.0,,,,,18.0,,,,,,
Weight,Acceleration,Anti-gravity Speed,1,3.0,20.0,,,,,,6.0,,,,,
Weight,Acceleration,Anti-gravity Speed,42,4.0,18.0,,,,,,10.0,,,,,
Weight,Acceleration,Anti-gravity Speed,41,4.0,19.0,,,,,,8.0,,,,,
Weight,Acceleration,Anti-gravity Speed,40,6.0,17.0,,,,,,11.0,,,,,
Weight,Acceleration,Anti-gravity Speed,39,6.0,18.0,,,,,,9.0,,,,,
Weight,Acceleration,Anti-gravity Speed,0,7.0,17.0,,,,,,10.0,,,,,
Weight,Acceleration,Anti-gravity Speed,27,9.0,15.0,,,,,,14.0,,,,,
Weight,Acceleration,Anti-gravity Speed,26,9.0,16.0,,,,,,12.0,,,,,
Weight,Acceleration,Anti-gravity Speed,28,10.0,13.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,38,11.0,16.0,,,,,,11.0,,,,,
Weight,Acceleration,Anti-gravity Speed,20,11.0,14.0,,,,,,15.0,,,,,
Weight,Acceleration,Anti-gravity Speed,19,11.0,15.0,,,,,,13.0,,,,,
Weight,Acceleration,Anti-gravity Speed,37,12.0,15.0,,,,,,11.0,,,,,
Weight,Acceleration,Anti-gravity Speed,25,12.0,12.0,,,,,,17.0,,,,,
Weight,Acceleration,Anti-gravity Speed,36,13.0,14.0,,,,,,13.0,,,,,
Weight,Acceleration,Anti-gravity Speed,18,13.0,13.0,,,,,,15.0,,,,,
Weight,Acceleration,Anti-gravity Speed,15,13.0,12.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,24,14.0,9.0,,,,,,19.0,,,,,
Weight,Acceleration,Anti-gravity Speed,35,14.0,13.0,,,,,,13.0,,,,,
Weight,Acceleration,Anti-gravity Speed,9,14.0,10.0,,,,,,18.0,,,,,
Weight,Acceleration,Anti-gravity Speed,17,14.0,12.0,,,,,,15.0,,,,,
Weight,Acceleration,Anti-gravity Speed,22,14.0,11.0,,,,,,17.0,,,,,
Weight,Acceleration,Anti-gravity Speed,32,15.0,12.0,,,,,,14.0,,,,,
Weight,Acceleration,Anti-gravity Speed,21,15.0,10.0,,,,,,17.0,,,,,
Weight,Acceleration,Anti-gravity Speed,12,15.0,11.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,23,15.0,8.0,,,,,,19.0,,,,,
Weight,Acceleration,Anti-gravity Speed,3,16.0,9.0,,,,,,18.0,,,,,
Weight,Acceleration,Anti-gravity Speed,7,16.0,7.0,,,,,,20.0,,,,,
Weight,Acceleration,Anti-gravity Speed,11,16.0,10.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,31,16.0,11.0,,,,,,14.0,,,,,
Weight,Acceleration,Anti-gravity Speed,6,17.0,6.0,,,,,,20.0,,,,,
Weight,Acceleration,Anti-gravity Speed,2,17.0,8.0,,,,,,18.0,,,,,
Weight,Acceleration,Anti-gravity Speed,14,17.0,9.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,34,17.0,10.0,,,,,,14.0,,,,,
Weight,Acceleration,Anti-gravity Speed,8,18.0,5.0,,,,,,20.0,,,,,
Weight,Acceleration,Anti-gravity Speed,5,18.0,7.0,,,,,,18.0,,,,,
Weight,Acceleration,Anti-gravity Speed,13,18.0,8.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,33,18.0,9.0,,,,,,14.0,,,,,
Weight,Acceleration,Anti-gravity Speed,29,19.0,7.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,4,19.0,6.0,,,,,,18.0,,,,,
Weight,Acceleration,Anti-gravity Speed,10,20.0,4.0,,,,,,15.0,,,,,
Weight,Acceleration,Anti-gravity Speed,16,20.0,3.0,,,,,,16.0,,,,,
Weight,Acceleration,Anti-gravity Speed,30,20.0,5.0,,,,,,13.0,,,,,
Weight,Acceleration,Air Speed,1,3.0,20.0,,,,,,,8.0,,,,
Weight,Acceleration,Air Speed,32,4.0,19.0,,,,,,,10.0,,,,
Weight,Acceleration,Air Speed,30,6.0,18.0,,,,,,,11.0,,,,
Weight,Acceleration,Air Speed,31,6.0,17.0,,,,,,,13.0,,,,
Weight,Acceleration,Air Speed,0,7.0,17.0,,,,,,,12.0,,,,
Weight,Acceleration,Air Speed,19,9.0,16.0,,,,,,,14.0,,,,
Weight,Acceleration,Air Speed,18,11.0,14.0,,,,,,,17.0,,,,
Weight,Acceleration,Air Speed,29,11.0,16.0,,,,,,,13.0,,,,
Weight,Acceleration,Air Speed,17,11.0,15.0,,,,,,,15.0,,,,
Weight,Acceleration,Air Speed,28,12.0,15.0,,,,,,,14.0,,,,
Weight,Acceleration,Air Speed,26,13.0,14.0,,,,,,,16.0,,,,
Weight,Acceleration,Air Speed,11,13.0,13.0,,,,,,,18.0,,,,
Weight,Acceleration,Air Speed,10,14.0,12.0,,,,,,,19.0,,,,
Weight,Acceleration,Air Speed,25,14.0,13.0,,,,,,,17.0,,,,
Weight,Acceleration,Air Speed,8,15.0,11.0,,,,,,,18.0,,,,
Weight,Acceleration,Air Speed,23,15.0,12.0,,,,,,,16.0,,,,
Weight,Acceleration,Air Speed,14,15.0,10.0,,,,,,,20.0,,,,
Weight,Acceleration,Air Speed,22,16.0,11.0,,,,,,,17.0,,,,
Weight,Acceleration,Air Speed,5,16.0,8.0,,,,,,,20.0,,,,
Weight,Acceleration,Air Speed,7,16.0,10.0,,,,,,,19.0,,,,
Weight,Acceleration,Air Speed,13,17.0,9.0,,,,,,,17.0,,,,
Weight,Acceleration,Air Speed,27,17.0,10.0,,,,,,,15.0,,,,
Weight,Acceleration,Air Speed,2,17.0,8.0,,,,,,,19.0,,,,
Weight,Acceleration,Air Speed,24,18.0,9.0,,,,,,,15.0,,,,
Weight,Acceleration,Air Speed,12,18.0,6.0,,,,,,,18.0,,,,
Weight,Acceleration,Air Speed,9,18.0,8.0,,,,,,,17.0,,,,
Weight,Acceleration,Air Speed,3,19.0,6.0,,,,,,,17.0,,,,
Weight,Acceleration,Air Speed,20,19.0,7.0,,,,,,,15.0,,,,
Weight,Acceleration,Air Speed,4,19.0,4.0,,,,,,,18.0,,,,
Weight,Acceleration,Air Speed,21,20.0,5.0,,,,,,,11.0,,,,
Weight,Acceleration,Air Speed,15,20.0,3.0,,,,,,,14.0,,,,
Weight,Acceleration,Air Speed,6,20.0,4.0,,,,,,,13.0,,,,
Weight,Acceleration,Air Speed,16,20.0,1.0,,,,,,,15.0,,,,
Weight,Acceleration,Ground Handling,56,1.0,20.0,,,,,,,,19.0,,,
Weight,Acceleration,Ground Handling,52,1.0,19.0,,,,,,,,20.0,,,
Weight,Acceleration,Ground Handling,55,2.0,19.0,,,,,,,,19.0,,,
Weight,Acceleration,Ground Handling,48,2.0,18.0,,,,,,,,20.0,,,
Weight,Acceleration,Ground Handling,44,2.0,20.0,,,,,,,,18.0,,,
Weight,Acceleration,Ground Handling,17,3.0,20.0,,,,,,,,17.0,,,
Weight,Acceleration,Ground Handling,47,3.0,17.0,,,,,,,,20.0,,,
Weight,Acceleration,Ground Handling,54,3.0,18.0,,,,,,,,19.0,,,
Weight,Acceleration,Ground Handling,23,3.0,19.0,,,,,,,,18.0,,,
Weight,Acceleration,Ground Handling,20,4.0,18.0,,,,,,,,18.0,,,
Weight,Acceleration,Ground Handling,15,4.0,19.0,,,,,,,,17.0,,,
Weight,Acceleration,Ground Handling,50,4.0,14.0,,,,,,,,20.0,,,
Weight,Acceleration,Ground Handling,46,4.0,16.0,,,,,,,,19.0,,,
Weight,Acceleration,Ground Handling,12,5.0,18.0,,,,,,,,17.0,,,
Weight,Acceleration,Ground Handling,49,5.0,13.0,,,,,,,,20.0,,,
Weight,Acceleration,Ground Handling,45,5.0,15.0,,,,,,,,19.0,,,
Weight,Acceleration,Ground Handling,19,5.0,17.0,,,,,,,,18.0,,,
Weight,Acceleration,Ground Handling,22,6.0,14.0,,,,,,,,18.0,,,
Weight,Acceleration,Ground Handling,51,6.0,12.0,,,,,,,,19.0,,,
Weight,Acceleration,Ground Handling,57,6.0,18.0,,,,,,,,15.0,,,
Weight,Acceleration,Ground Handling,11,6.0,17.0,,,,,,,,17.0,,,
